"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"57","RT @andreascseh: #Apple #iPhone7 Explosion Caught on Camera $AAPL #iPhone7Plus #Note7 https://t.co/XuluQhE73N 
@www_mfor_hu https://t.co/hs…",FALSE,0,NA,2016-12-06 14:28:57,FALSE,NA,"806143395919822848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","notyourcountry",2,TRUE,FALSE,NA,NA
"58","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 14:25:52,FALSE,NA,"806142618929270784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TARO0810_LOVE",468,TRUE,FALSE,NA,NA
"59","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 14:25:51,FALSE,NA,"806142616131674113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Summer_Love716",468,TRUE,FALSE,NA,NA
"60","RT @iPhoneHackx: Apple Releases New ‘Romeo and Juliet’ Ad Highlighting iPhone 7’s Camera https://t.co/5fzFI03oHk #AppleNews #iPhone7 https:…",FALSE,0,NA,2016-12-06 14:15:31,FALSE,NA,"806140013540937728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonathanmoya123",1,TRUE,FALSE,NA,NA
"61","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 14:12:30,FALSE,NA,"806139254053040128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ldh_012_ruu",468,TRUE,FALSE,NA,NA
"62","Apple Releases New ‘Romeo and Juliet’ Ad Highlighting iPhone 7’s Camera https://t.co/5fzFI03oHk #AppleNews #iPhone7 https://t.co/nDnnNeszj4",FALSE,4,NA,2016-12-06 14:05:11,FALSE,NA,"806137413366140928",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","iPhoneHackx",1,FALSE,FALSE,NA,NA
"63","#Apple touts the #iPhone7 camera in new ‘Romeo and Juliet’ themed commercial
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/ACZ7z4GQKi https://t.co/iaJv3sUQtY",FALSE,0,NA,2016-12-06 14:01:11,FALSE,NA,"806136405982408704",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PickMod",0,FALSE,FALSE,NA,NA
"64","Is the iPhone 7 camera the best we've seen on a smartphone? Our test lab has the verdict: https://t.co/weJnItpTzE… https://t.co/5XiYaJB2Ca",FALSE,1,NA,2016-12-06 14:00:59,TRUE,NA,"806136356930015232",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WhichTech",0,FALSE,FALSE,NA,NA
"65","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 13:57:36,FALSE,NA,"806135507377754112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","i_am_rei_0_",468,TRUE,FALSE,NA,NA
"66","#Apple #iPhone7 Explosion Caught on Camera $AAPL #iPhone7Plus #Note7 https://t.co/XuluQhE73N 
@www_mfor_hu https://t.co/hs5pKArPac",FALSE,3,NA,2016-12-06 13:54:09,FALSE,NA,"806134636225007616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andreascseh",2,FALSE,FALSE,NA,NA
